idx,title,description,url
1,둔촌주공 '전세 홍수' 예상했는데…눈치게임 시작됐다 | JTBC 뉴스,"[앵커]

단군 이래 최대 규모의 재건축이라 불리는 둔촌주공아파트 입주가 다음 달 말부터 시작됩니다. 한꺼번에 대규모 입주가 이뤄지다 보니, 전세매물도 쏟아지지 않을까 했는데 현장 분위기는 다르다고 합니다.

이상화 기자입니다.

[기자]

다음 달 말부터 1만2천 세대가 입주를 시작하는 서울 둔촌동 올림픽파크포레온입니다.

국내 재건축 가운데 역대 최대 규모입니다.

[이용택/공인중개사 : 공개 행사 이후에 찾아오는 분들이 거의 두 배 가량 늘었다고 판단을 하고 있습니다. 다양한 연령층에서 다양한 세대에서 관심을&hellip;]

단지가 워낙 크다 보니 입주 시기 전에 전세 물량이 쏟아져 나올지도 관심입니다.

6년 전, 9천여 세대가 입주한 서울 헬리오시티는 당시 전세뿐 아니라 매매가격도 동반 하락했습니다.

그런데 이번엔 다르다는 게 현장 분위깁니다.

[김복수/공인중개사 : 일반적으로 아파트가 입주하면 30~40% 정도는 전세 나오는 게 보통 시장의 모습인데 여기는 (전세보다) 입주가 많다고 보면 되고, (전세라도) 본인이 받고자 하는 가격을 받고 싶어 하는 거죠]

실거주 의무가 아직 폐지되지 않은 데다 신축 선호 현상도 가세하면서 전세매물 자체가 부족하단 겁니다.

현재 인터넷에 올라온 매물은 3천 세대에도 못 미칩니다.

최근 정부의 대출 관리로 전세대출 규제가 강해진 점도 한몫했습니다.

[권대중/서강대 부동산학과 교수 : 전세대출이 막혔기 때문에 세입자가 물량이 나온다 하더라도 전세대출이 안 되면 들어갈 수가 없거든요. 실입주가 늘어나는 그런 현상 때문에 임대 물량도 없는 것 같습니다.]

상대적으로 저렴하게 전세를 내놨다가 다시 거둬들이는 집주인들도 있는데, 주변 전셋값도 신축을 중심으로 오르는 추세입니다.

[함영진/직방 빅데이터랩장 : 대규모 입주장에 따른 전세 가격 하락이라든지 또 풍부한 매물 유통을 기대하기는 좀 어려울 것으로 보이고요.]

[영상취재 신승규 / 영상편집 김지우]",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220943
2,"""실제 가보니 완전 사기네""…캠핑장 관리 소홀했다간 | JTBC 뉴스","[앵커]

캠핑장을 예약할 때 예약 플랫폼에 올라온 사진으로만 봤을 땐 기대가 컸는데 막상 가보니 사진과 많이 달라서 당황했다는 분들 적지 않습니다. 같은 캠핑장이 맞나 싶은 이런 사진들 앞으론 예약 업체들도 책임을 져야 합니다.

정아람 기자입니다.


[기자]

한 인터넷 카페에 올라온 글입니다.

소비자가 캠핑장 상태가 예약 플랫폼에서 본 사진과 너무 다르다며 불만을 토로합니다.

사진에선 깔끔한 신축 건물이었는데, 실제로 가보니 신축이 아니었단 글도 있습니다.

[김정식/피해자 : 사이트에 올라온 사진이나 글 보고 선택할 수밖에 없는데 막상 가보면 너무 다르니까 사기당한 것 같기도 하고, 호소할 데도 없으니까 소비자 입장에서는 억울하죠.]

한국소비자원이 조사해 보니, 캠핑 예약 플랫폼 이용자의 74%가 플랫폼상의 정보가 실제와 달라 불편했다고 답했습니다.

그동안은 불공정한 약관 때문에 소비자가 보상받을 길이 거의 없었습니다.

실제 야놀자와 여기어때 등 주요 예약 플랫폼 약관엔 정보의 정확성과 신뢰도에 대해 사업자의 책임을 면제하는 조항이 있었습니다.

하지만 앞으론 실제 모습이 사실과 다를 경우 플랫폼도 책임을 물어야 합니다.

[신용호/공정위 약관특수거래과장 : 플랫폼 사업자는 플랫폼을 운영·관리하는 주체로서 선량한 관리자로서의 주의의무를 다해야 하며, 이용자 간 분쟁 발생 시 이를 해결하기 위해 필요한 조치를 신속히 이행해야 할 의무도 있습니다.]

또 캠핑장 사진과 정보가 최근 실제 모습인지 플랫폼이 업체에 정기 점검을 고지하도록 했습니다.&nbsp;

공정위는 약관 시정이 캠핑장과 자연휴양림 등으로 확대되도록관계 부처와 협의하고 있다고 밝혔습니다.",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220949
3,"""요즘 한 끼도 버겁다""…편의점 갔다가 '이 정도일 줄은' | JTBC 뉴스",[앵커]2만 원에 육박하는 점심값을 아끼려다 보면 편의점 도시락이 든든한 한 끼가 될 때가 많은데요. 그런데 이 편의점 도시락도 7000원으로 오르면서 식비 부담이 커졌습니다.정아람 기자입니다.[기자]서울의 한…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220832
4,"""오늘은 굶어야겠다"" 말 나오는 이유…편의점 도시락도 '7천원 시대' | JTBC 뉴스",[앵커]주머니가 가벼운 직장인들이나 자취생들이 간편하게 자주 찾는 게 편의점 도시락이죠. 그런데 이 편의점 도시락마저 7천원을 눈앞에 두고 있다고 합니다.정아람 기자입니다.[기자]서울의 한 편의점.도시락 하…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220765
5,경영권 분쟁 '주총 표대결'로…롤러코스터 탄 고려아연 주가 | JTBC 뉴스,"[앵커]오늘(28일) 고려아연 주가, 장중 15%포인트 넘게 출렁이며 말 그대로 롤러코스터를 탔습니다. 한 달 넘게 이어진 공개매수 절차가 완전히 마무리되면서인데 뚜껑을 열어보니 양측 모두 과반 확보에 실패해 결…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220766
6,"""결혼하기 진짜 힘들겠구나""…'돈 걱정' 앞서는 예비부부들 | JTBC 뉴스","[앵커]저출산도 문제지만, 결혼하는 것조차 쉽지 않은 현실인데요. 예비 부부들은 결혼식에 드는 비용이 갈수록 비싸지는 것도 문제라고 말합니다.이 소식은 정아람 기자가 전해드립니다.[기자]내년 5월 결혼을 앞…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220665
7,예비부부 울리는 '웨딩 물가'…올해 예식장 비용 21% 올라 | JTBC 뉴스,"[앵커]한편 결혼식에 드는 비용이 갈수록 비싸져서, 식 치르는 것부터가 쉽지 않다고 예비부부들은 말합니다.이 소식은 정아람 기자가 전해드립니다.[기자]내년 5월 결혼을 앞둔 정현대, 김세현 씨.본격적으로 결혼…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220651
8,20대 '비정규직 비중' 역대 최고…10명 중 4명 꼴 | JTBC 뉴스,"20대 비정규직이 꾸준히 늘면서 임금 근로자 10명 중 4명은 비정규직인 걸로 나타났습니다.통계청에 따르면, 지난 8월 기준 20대 임금 근로자 가운데 비정규직은 146만 1000명으로 전체의 43.1%를 차지했습니다.이…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220627
9,"대통령까지 나서 ""확실하게 살아난다""더니…경제 '빨간불' | JTBC 뉴스","[앵커]어제(24일), 예상보다 훨씬 나빴던 3분기 경제성장률이 공개되자, 우리 경제를 둘러싼 우려도 커지고 있습니다. 두 달 전에는 대통령까지 나서 ""경제가 확실하게 살아날 거""라고 장담했지만, 정부 인식이 지…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220516
10,믿었던 수출마저 뒷걸음질…3분기 경제성장률 0.1% 그쳐 | JTBC 뉴스,"[앵커]한국은행이 오늘(24일) 우리 경제 3분기 성적표를 내놨는데 예상했던 것보다 훨씬 나쁜 것으로 나왔습니다. 걱정했던 소비는 미미하게나마 개선됐지만, 우리 경제 효자 역할을 했던 수출이 뒷걸음쳤습니다.공…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220366
11,'HBM' 날개 단 SK하이닉스…삼성전자 뛰어넘는 역대급 실적 | JTBC 뉴스,"[앵커]SK하이닉스가 올해 3분기, 7조원대 영업이익을 기록하며 사상 최대 실적을 냈습니다. 고부가가치 메모리라 불리는 고대역폭메모리, HBM이 불티나게 팔린 영향인데 삼성전자 반도체 실적까지 뛰어넘은 걸로 보…",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220365
12,"여전히 비싼 배추…정부 ""11월 중순엔 3천원대로 내려갈 것"" | JTBC 뉴스",[앵커]한 포기에 2만 원까지 치솟았던 배추 가격이 최근 들어 조금 떨어지고는 있지만 여전히 평년 대비 2배 가까이 비쌉니다. 정부가 오늘(23일) 수급 안정 대책을 내놓으며 김장 속 재료는 조금 싸다고 했는데 김…,https://news.jtbc.co.kr/article/article.aspx?news_id=NB12220169
