연도(아카데미상),제목,감독,결과
1962년(35회),사랑방 손님과 어머니,신상옥,미후보
1964년(37회),벙어리 삼룡,신상옥,미후보
1966년(39회),쌀,신상옥,미후보
1968년(41회),카인의 후예,유현목,미후보
1969년(42회),독짓는 늙은이,최하원,미후보
1973년(46회),비련의 벙어리 삼룡,변장호,미후보
1984년(57회),여인 잔혹사 물레야 물레야,이두용,미후보
1985년(58회),어우동,이장호,미후보
1986년(59회),내시,이두용,미후보
1990년(63회),마유미,신상옥,미후보
1994년(67회),헐리우드 키드의 생애,정지영,미후보
1995년(68회),삼공일 삼공이,박철수,미후보
2000년(73회),춘향뎐,임권택,미후보
2002년(75회),오아시스,이창동,미후보
2003년(76회),봄 여름 가을 겨울 그리고 봄,김기덕,미후보
2004년(77회),태극기 휘날리며,강제규,미후보
2005년(78회),웰컴 투 동막골,박광현,미후보
2006년(79회),왕의 남자,이준익,미후보
2007년(80회),밀양,이창동,미후보
2008년(81회),크로싱,김태균,미후보
2009년(82회),마더,봉준호,미후보
2010년(83회),맨발의 꿈,김태균,미후보
2011년(84회),고지전,장훈,미후보
2012년(85회),피에타,김기덕,미후보
2013년(86회),범죄소년,강이관,미후보
2014년(87회),해무,심성보,미후보
2015년(88회),사도,이준익,미후보
2016년(89회),밀정,김지운,미후보
2017년(90회),택시운전사,장훈,미후보
2018년(91회),버닝,이창동,예비후보
2019년(92회),기생충,봉준호,수상
2020년(93회),남산의 부장들,우민호,미후보
2021년(94회),모가디슈,류승완,미후보
2022년(95회),헤어질 결심,박찬욱,예비후보
2023년(96회),콘크리트 유토피아,엄태화,미후보
